Period,"Non Food Credit
 (?  Crore)","Investment In India
 (? Crore)","Aggregate Desposits 
(? Crore)","Bank Credit 
(? Crore)","Food Credit 
(? Crore)",Cash Deposit Ratio (%),Credit Deposit Ratio (%),"M3 
(? Crore)","Certificates of Deposit (Amount Outstanding) 
(? Crore)"
15-Jan-2026,"2,00,44,195.72","68,07,967.35","2,44,99,894.23","2,01,32,364.93","88,169.21",-,-,"2,95,02,905.14","5,74,586.15"
31-Dec-2025,"2,02,32,815.17","68,84,983.10","2,48,57,492.98","2,03,20,787.62","87,972.45",-,-,"2,97,98,543.95","5,68,136.12"
15-Dec-2025,"1,96,10,614.48","68,81,357.58","2,41,31,870.09","1,96,94,564.27","83,949.79",-,-,"2,90,58,340.08","5,54,967.84"
28-Nov-2025,"1,94,49,642.31","68,86,471.97","2,42,60,054.93","1,95,29,443.34","79,801.03",-,-,"2,91,36,713.20","5,70,508.16"
14-Nov-2025,"1,92,91,758.21","68,34,736.63","2,40,93,542.81","1,93,70,949.22","79,191.01",-,-,"2,89,45,871.48","5,34,617.43"
31-Oct-2025,"-1,40,742.62","68,89,909.95",-,-,"70,371.31",-,-,"2,89,97,506.24","5,14,877.08"
17-Oct-2025,"-52,489.66","68,85,074.23",-,-,"52,489.66",-,-,"2,87,14,437.86","5,02,668.21"
03-Oct-2025,"1,92,18,672.80","68,76,278.22","2,40,98,640.72","1,92,61,332.10","42,659.30",-,-,"2,88,95,269.38","4,97,940.28"
19-Sep-2025,"1,88,57,576.58","68,46,280.72","2,35,46,511.16","1,89,02,860.72","45,284.14",-,-,"2,83,50,280.90","5,01,817.39"
05-Sep-2025,"1,87,55,105.26","68,19,997.00","2,36,68,910.14","1,88,00,685.56","45,580.30",-,-,"2,84,76,012.98","4,95,293.61"
22-Aug-2025,"1,85,96,385.97","67,56,965.81","2,35,04,534.61","1,86,46,841.82","50,455.85",4.33,77.89,"2,83,08,501.71","4,94,942.79"
08-Aug-2025,"1,85,53,885.40","67,50,168.11","2,34,72,137.28","1,86,06,166.74","52,281.34",4.29,77.82,"2,82,88,711.82","5,11,313.00"
25-Jul-2025,"1,83,88,028.24","67,26,827.65","2,33,49,826.99","1,85,01,377.20","56,674.48",4.30,77.76,"2,81,39,873.48","5,08,451.73"
11-Jul-2025,"1,84,10,899.73","67,16,248.00","2,33,25,705.73","1,84,69,892.58","58,992.85",4.36,77.70,"2,81,41,256.05","5,25,253.75"
27-Jun-2025,"1,83,57,422.20","66,96,801.88","2,34,25,645.34","1,84,86,199.66","64,388.73",4.36,77.40,"2,82,30,455.67","5,17,439.00"
