Period,Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,"Commercial Paper (Amount Outstanding) 
(? Crore)",Consumer Price Index for Food and Beverages,"Net Foreign Direct Investment 
(US $ Million)","Direct Investment to India 
(US $ Million)","Foreign Direct Investment By India
 (US $ Million)","Net Portfolio Investment 
(US $ Million)","Total Investment Inflows 
(US $ Million)","FCNR(B)-Foreign Currency Non-Resident (Banks) 
(US $ Million)","External Commercial Borrowings – Registrations
(US $ Million)","Foreign Trade Exports Total 
(US $ Million)","Foreign Trade Imports Total 
(US $ Million)","Foreign Trade Balance Total 
(US $ Million)","Total Retail Payments 
(? Crore)","Total Digital Payments 
(? Crore)","Market Borrowing SG Gross Amount Raised 
(? Crore)",Exchange Rate of Indian Rupee vis-à-vis US Dollar (Month End)
Dec-2025,198,170.30,157.00,137.12,137.03,"4,51,053.35",202.10,-,-,-,-,-,-,-,-,-,-,-,-,-,89.92
Nov-2025,197.9,158.70,155.90,137.40,137.30,"5,01,649.20",202.60,-446.17,"1,065.48","1,511.65",683.40,237.23,"34,672.16","2,402.00","38,116.14","62,662.13","-24,545.99","83,57,745.91","2,46,69,099.54","65,827.20",89.46
Oct-2025,197.3,151.10,155.10,136.40,136.50,"4,79,629.50",201.60,"-1,667.91","1,541.82","3,209.74","3,421.07","1,753.16","34,403.01","2,206.00","34,159.79","76,109.08","-41,949.29","89,30,903.05","2,70,89,050.78","91,110.00",88.72
Sep-2025,197,153.70,155.00,136.23,136.42,"4,88,262.80",202.00,"-1,663.90","2,389.86","4,053.76",-621.31,"-2,285.20","33,499.69","2,799.00","36,150.74","69,097.29","-32,946.55","86,12,884.99","2,78,79,360.42","87,382.56",88.79
Aug-2025,197,151.80,155.20,136.34,136.60,"5,43,870.10",202.80,214.90,"1,989.36","1,774.46","-2,596.10","-2,381.20","33,429.72","3,267.00","34,780.23","61,975.64","-27,195.41","81,08,083.88","2,39,39,275.03","81,692.05",87.85
Jul-2025,196.1,156.20,154.40,135.31,135.66,"5,47,229.30",201.60,"4,324.85","6,937.55","2,612.70","-2,529.53","1,795.32","33,581.06","3,321.00","37,017.57","64,884.80","-27,867.22","83,97,468.57","2,66,53,867.30","96,769.05",87.55
Jun-2025,194.2,153.30,153.70,134.08,134.37,"5,00,000.60",198.10,"2,338.73","5,304.90","2,966.17","2,435.17","4,773.90","33,583.38","3,483.00","34,969.77","54,086.89","-19,117.12","79,57,699.95","2,64,19,883.54","82,206.51",85.54
May-2025,193,157.60,153.70,"1,438.09","1,452.42","5,53,874.25",196.10,919.18,"3,550.07","2,630.90","1,301.76","2,220.93","33,251.69","2,739.00","38,303.28","60,856.18","-22,552.90","81,96,787.06","2,46,14,318.37","64,772.03",85.48
Apr-2025,192.6,151.80,154.20,"1,307.00","1,320.00","5,45,586.95",196.00,"1,609.30","4,952.00","3,342.70","-2,128.68",-519.38,"33,080.99","2,917.00","38,283.19","65,381.98","-27,098.79","82,13,453.56","2,44,64,163.81","53,870.00",85.05
Mar-2025,192,166.30,154.80,"1,306.00","1,319.00","4,42,892.70",196.20,-501.87,"3,387.57","3,889.44","4,042.53","3,540.66","32,809.42","11,043.00","42,047.60","63,507.14","-21,459.54","93,75,535.44","3,01,17,631.05","2,24,897.11",85.58
Feb-2025,192.5,151.10,154.90,"1,309.00","1,321.00","4,65,926.95",197.60,-703.13,"3,066.43","3,769.56","-3,971.68","-4,674.81","32,492.04","2,824.00","36,910.92","50,963.67","-14,052.75","74,52,320.64","2,30,10,857.06","1,22,593.06",87.40
Jan-2025,193.4,161.60,155.00,"1,316.00","1,328.00","4,56,483.15",200.90,"1,571.38","3,598.50","2,027.13","-5,929.48","-4,358.11","32,754.06","3,998.00","36,338.51","59,430.34","-23,091.83","80,49,363.21","2,49,41,970.20","1,11,673.15",86.64
Dec-2024,195.4,158.00,155.70,"1,320.00","1,331.00","4,35,779.45",205.90,-188.93,"1,914.65","2,103.58","1,811.78","1,622.85","32,198.08","9,543.00","37,804.05","58,478.81","-20,674.76","79,69,354.32","2,65,45,062.15","88,662.00",85.62
Nov-2024,196.5,148.10,156.40,"1,458.30","1,468.90","4,45,122.05",208.40,"-2,492.76",-173.80,"2,318.96","-2,256.94","-4,749.70","32,040.00","2,833.00","31,942.52","63,928.51","-31,985.99","72,25,196.38","2,15,14,229.68","55,006.00",84.50
Oct-2024,196.8,150.30,156.70,"1,453.30","1,464.00","4,45,104.90",209.40,-128.51,"1,763.67","1,892.17","-10,926.87","-11,055.38","31,871.04","5,499.00","38,983.08","65,069.52","-26,086.44","84,41,196.13","2,48,88,114.15","84,842.00",84.09
Sep-2024,194.2,146.90,154.70,"1,440.33","1,452.00","3,97,590.45",204.80,"-1,175.37","1,124.45","2,299.81","9,712.45","8,537.09","31,080.27","4,841.00","34,079.18","58,719.63","-24,640.45","73,42,641.26","2,45,85,736.93","82,243.00",83.79
Aug-2024,193,145.80,154.40,"1,431.86","1,443.90","4,71,121.50",202.70,"1,042.41","3,510.78","2,468.37","4,297.80","5,340.21","29,204.06","5,909.00","32,890.09","68,509.80","-35,619.71","73,82,993.79","2,27,24,581.95","89,190.00",83.87
Jul-2024,193,149.80,155.30,"1,424.27","1,436.30","4,58,911.05",203.30,"-2,687.99",331.41,"3,019.40","5,839.80","3,151.81","28,572.43","3,581.00","32,679.53","59,473.54","-26,794.01","75,00,984.30","2,28,60,979.26","68,382.88",83.74
Jun-2024,190.2,151.00,154.00,"1,412.20","1,424.09","4,22,447.45",198.40,"2,241.65","3,557.37","1,315.72","5,448.77","7,690.42","27,414.08","2,816.00","35,445.83","55,997.07","-20,551.24","70,15,197.91","2,24,99,058.11","51,821.00",83.45
May-2024,187.7,154.70,153.50,"1,269.00","1,281.00","4,03,970.00",193.20,"2,203.11","3,996.02","1,792.91","-1,820.65",382.46,"26,852.83","4,012.00","38,780.80","61,675.19","-22,894.39","72,82,789.47","2,18,58,217.78","57,500.00",83.30
Apr-2024,186.7,148.00,152.90,"1,263.00","1,275.00","4,11,533.60",191.90,"1,778.90","3,052.49","1,273.59","-2,683.38",-904.48,"26,216.43","4,285.00","39,802.47","54,488.05","-14,685.57","68,88,197.81","2,06,53,664.85","36,500.00",83.52
Mar-2024,185.8,160.00,151.40,"1,259.00","1,270.00","3,88,559.20",190.70,"-1,360.61","2,301.50","3,662.11","7,785.30","6,424.69","25,733.33","7,734.00","41,692.74","56,638.66","-14,945.91","82,33,757.18","2,56,73,377.93","1,92,763.49",83.37
Feb-2024,185.8,147.10,151.20,"1,258.00","1,269.00","4,08,048.25",190.30,-22.94,"1,207.73","1,230.67","3,745.61","3,722.67","24,901.66","2,296.00","41,405.62","59,824.06","-18,418.44","70,09,371.33","2,10,21,038.47","1,06,259.00",82.92
Jan-2024,185.5,153.60,151.20,"1,258.00","1,268.00","3,77,707.20",190.10,"3,682.28","4,553.57",871.29,-139.10,"3,543.18","23,517.12","3,090.00","37,323.80","53,706.86","-16,383.06","69,20,898.55","2,10,28,870.68","1,04,021.74",83.08
Dec-2023,185.7,152.30,151.80,"1,257.00","1,267.00","3,64,181.25",191.20,-654.77,"1,313.22","1,968.00","9,555.33","8,900.56","22,815.31","5,143.00","38,391.03","56,914.62","-18,523.59","69,02,094.70","2,21,97,900.82","67,683.01",83.12
Nov-2023,186.3,141.10,153.10,"1,253.00","1,262.00","3,94,967.95",192.60,804.33,"1,775.66",971.33,"4,197.96","5,002.29","21,859.71","1,146.00","33,745.88","54,755.73","-21,009.85","66,08,910.33","1,96,41,486.98","1,10,925.51",83.35
Oct-2023,185.3,144.90,152.50,"1,241.00","1,251.00","4,13,685.30",190.90,"3,806.91","5,277.11","1,470.20","-1,741.13","2,065.78","21,427.21",742.00,"33,433.54","63,038.11","-29,604.57","66,46,440.30","1,95,26,386.61","67,383.52",83.27
Sep-2023,184.1,142.30,151.80,"1,226.00","1,237.00","4,12,234.35",189.00,630.95,"1,920.24","1,289.29","-2,226.19","-1,595.23","21,283.78","2,764.00","34,407.98","54,225.19","-19,817.21","62,66,878.72","2,02,37,041.12","70,012.01",83.06
Aug-2023,186.2,145.80,152.50,"1,224.00","1,234.00","4,50,064.05",192.50,-539.59,739.06,"1,278.65","2,880.22","2,340.63","20,915.04","2,768.00","38,284.78","62,035.81","-23,751.03","63,27,648.53","1,94,76,332.71","62,280.00",82.68
Jul-2023,186.3,142.70,152.10,"1,215.00","1,226.00","4,44,567.60",193.50,-924.85,377.47,"1,302.33","4,292.49","3,367.64","20,808.03","2,559.00","34,489.89","53,145.93","-18,656.04","61,90,842.24","1,87,28,093.79","58,030.00",82.25
Jun-2023,181,143.90,148.90,"1,196.00","1,207.00","4,33,212.15",183.10,"1,305.48","1,967.82",662.33,"7,649.74","8,955.22","20,484.67","7,959.00","34,324.89","53,203.06","-18,878.18","60,70,860.95","1,98,29,171.94","67,900.00",82.04
May-2023,179.1,145.60,149.40,"1,186.00","1,197.00","4,33,543.35",179.10,665.61,"1,484.60",818.99,"5,986.04","6,651.65","19,887.24","7,648.00","34,953.43","57,452.92","-22,499.48","61,67,821.57","1,84,22,636.73","77,500.01",82.68
Apr-2023,178.1,140.70,151.10,"1,180.00","1,192.00","4,21,736.55",177.90,"2,758.78","3,911.83","1,153.05","2,095.04","4,853.82","19,687.33","5,360.00","34,618.45","49,051.01","-14,432.56","58,03,936.48","1,70,41,460.88","22,300.00",81.78
Mar-2023,177.2,151.70,151.00,"1,175.00","1,186.00","3,53,688.25",177.00,"1,274.04","2,392.47","1,118.43","1,559.64","2,833.69","19,363.30","3,840.00","41,957.82","60,920.80","-18,962.98","69,54,269.75","2,23,70,990.86","1,71,895.67",82.22
Feb-2023,176.8,139.30,150.90,"1,171.00","1,182.00","3,64,530.10",176.60,"1,716.48","2,860.37","1,143.89",-331.51,"1,384.98","18,402.31",644.00,"37,013.70","53,581.50","-16,567.80","55,19,200.04","1,70,07,088.60","77,192.00",82.68
Jan-2023,176.5,147.40,150.70,"1,170.00","1,181.00","3,63,889.15",176.70,"3,364.25","4,066.34",702.09,"-2,892.32",471.92,"18,206.71","1,777.00","35,799.38","52,826.38","-17,027.00","56,30,278.67","1,76,06,106.07","51,846.00",81.74
Dec-2022,175.7,145.90,150.50,"1,167.00","1,179.00","3,59,673.30",175.90,"1,870.30","3,575.14","1,704.84",-688.02,"1,182.27","17,558.44","2,768.00","38,084.56","61,218.76","-23,134.20","58,72,457.43","1,89,88,611.14","53,461.85",82.79
Nov-2022,176.5,137.70,152.50,"1,167.00","1,178.00","3,62,307.65",178.30,"-1,007.85","1,575.16","2,583.01","4,736.11","3,728.26","16,719.23","5,203.00","34,887.10","56,951.41","-22,064.31","54,16,306.26","1,71,22,666.38","57,199.00",81.60
Oct-2022,176.7,129.50,152.90,"1,159.00","1,170.00","3,73,332.25",179.60,"1,167.66","2,176.93","1,009.27",562.46,"1,730.12","16,104.43","1,430.00","31,601.79","57,910.50","-26,308.71","54,33,995.24","1,64,35,635.01","70,450.00",82.39
Sep-2022,175.3,133.80,151.90,"1,149.00","1,161.00","4,00,866.35",177.80,"1,567.37","2,565.66",998.29,"-1,175.04",392.33,"16,008.40","2,709.00","35,390.80","63,372.11","-27,981.31","55,25,434.84","1,87,24,499.31","53,591.02",81.55
Aug-2022,174.3,131.50,153.20,"1,140.00","1,152.00","4,10,076.80",176.30,748.31,"1,968.49","1,220.18","7,336.85","8,085.16","16,017.67","1,875.00","37,017.74","61,879.15","-24,861.41","51,38,432.29","1,62,56,511.76","59,526.00",79.72
Jul-2022,173.4,134.40,154.00,"1,131.00","1,143.00","3,74,226.45",175.00,"3,893.28","4,562.89",669.61,370.06,"4,263.34","15,877.96","2,616.00","38,335.80","63,771.39","-25,435.59","51,52,880.74","1,61,24,939.59","52,990.00",79.42
Jun-2022,172.6,138.30,155.40,"1,125.00","1,137.00","3,72,542.35",174.90,"2,755.21","3,869.39","1,114.18","-6,062.49","-3,307.28","15,680.64","1,889.00","42,279.52","64,352.76","-22,073.24","51,86,042.58","1,69,48,911.26","65,450.00",78.94
May-2022,171.7,137.80,155.00,"1,119.00","1,131.00","3,84,544.00",173.30,"5,311.40","6,042.65",731.25,"-4,682.84",628.55,"15,910.40","1,516.00","39,003.62","61,126.44","-22,122.82","50,73,160.51","1,56,62,545.54","35,290.00",77.66
Apr-2022,170.1,134.50,152.30,"1,108.00","1,119.00","3,64,999.65",170.80,"5,325.85","6,350.47","1,024.62","-3,884.76","1,441.08","16,134.74",362.00,"39,698.17","58,057.70","-18,359.53","50,10,048.42","1,54,37,383.30","9,500.00",76.42
Mar-2022,167.7,148.80,148.90,"1,098.00","1,109.00","3,52,292.55",168.40,"3,051.98","5,145.27","2,093.29","-4,992.89","-1,940.90","16,918.12","5,042.00","44,573.71","63,090.56","-18,516.85","60,52,220.95","1,98,16,840.72","1,03,665.00",75.81
Feb-2022,166.1,131.40,145.30,"1,095.00","1,106.00","3,64,645.30",166.20,"4,657.32","5,168.92",511.60,"-5,788.36","-1,131.05","17,292.98","2,328.00","37,153.99","55,898.39","-18,744.40","46,78,584.76","1,43,87,881.72","52,118.00",75.49
Jan-2022,165.7,139.30,143.80,"1,095.00","1,105.00","3,95,881.00",166.40,"6,067.20","6,939.29",872.09,"-4,433.91","1,633.29","18,089.38","7,979.00","35,233.01","52,566.77","-17,333.76","46,28,493.06","1,45,19,881.26","79,535.43",74.97
Dec-2021,166.2,138.80,143.30,"1,097.00","1,106.00","3,50,068.65",168.20,"1,350.52","2,851.02","1,500.51","-3,735.72","-2,385.21","18,154.37","5,549.00","39,270.20","60,329.77","-21,059.57","49,94,789.73","1,73,20,825.36","60,062.00",74.30
Nov-2021,166.7,128.00,143.70,"1,092.00","1,101.00","3,88,363.05",169.70,"2,192.25","3,329.61","1,137.37",-152.47,"2,039.78","18,672.91","2,399.00","31,795.05","53,025.07","-21,230.02","43,56,440.55","1,48,04,995.55","37,825.00",75.09
Oct-2021,165.5,135.00,140.70,"1,081.00","1,090.00","3,79,278.30",167.70,"1,015.88","2,659.21","1,643.33","-1,953.39",-937.51,"18,805.15","1,339.00","35,727.73","53,638.25","-17,910.52","46,20,153.27","1,41,71,917.31","59,449.23",74.79
Sep-2021,163.2,129.50,137.40,"1,067.00","1,076.00","3,70,982.10",164.00,"2,030.58","4,276.38","2,245.79","2,588.85","4,619.43","18,950.00","4,023.00","33,814.61","56,286.42","-22,471.81","43,14,396.07","1,48,17,559.33","70,821.73",74.26
Aug-2021,162.9,132.40,136.20,"1,066.00","1,074.00","3,91,504.85",163.90,"5,114.58","6,003.55",888.97,"2,906.37","8,020.95","19,331.06","2,847.00","33,380.73","45,092.86","-11,712.13","40,61,924.01","1,36,92,317.12","44,300.00",73.15
Jul-2021,162.5,131.50,135.00,"1,061.00","1,070.00","4,14,981.65",164.00,"1,552.10","2,619.84","1,067.73","-1,617.79",-65.69,"19,598.51","3,434.00","35,512.82","46,146.97","-10,634.16","40,11,552.88","1,41,99,610.60","49,300.00",74.39
Jun-2021,161.3,122.80,133.70,"1,057.00","1,065.00","3,76,117.85",162.60,354.15,"2,555.24","2,201.09","1,251.70","1,605.85","19,698.70","1,485.00","32,493.00","42,098.26","-9,605.27","37,26,363.02","1,34,45,922.51","84,850.00",74.35
May-2021,160.4,115.10,132.90,"1,049.00","1,057.00","3,88,707.25",160.70,"8,801.57","10,352.18","1,550.61",966.46,"9,768.03","19,876.30",738.00,"32,298.98","38,834.64","-6,535.66","32,36,674.12","1,12,61,479.56","50,550.00",72.52
