Period,"Overall Balance of Payments Net 
(US $ Million)","International Investment Position Net
(US $ Million)","India's External Debt - Gross Total 
 (US $ Million) ","Gross External Debt
Position"
Sep-2025,"-10,917.02","-2,74,304.94",-,"85,25,069.52"
Jun-2025,"4,507.55","-3,12,723.34","7,47,163.15","86,05,364.53"
Mar-2025,"8,788.58","-3,29,066.19","7,35,932.20","88,17,534.15"
Dec-2024,"-37,660.49","-3,63,983.80","7,18,203.67","85,02,371.93"
Sep-2024,"18,613.51","-3,53,364.48","7,13,026.74","78,40,345.08"
Jun-2024,"5,225.98","-3,67,063.98","6,81,465.49","79,07,894.21"
Mar-2024,"30,753.60","-3,61,398.71","6,68,724.37","79,60,965.70"
Dec-2023,"5,998.17","-3,68,181.35","6,48,617.35","77,09,665.37"
Sep-2023,"2,518.58","-3,82,054.91","6,37,063.85","72,40,697.12"
Jun-2023,"24,431.59","-3,78,870.00","6,28,762.74","72,11,627.74"
Mar-2023,"5,579.42","-3,67,015.47","6,24,059.94","71,05,079.90"
Dec-2022,"11,068.89","-3,72,941.98","6,11,849.65","68,27,505.43"
Sep-2022,"-30,378.84","-3,86,323.86","6,05,641.16","64,58,024.66"
Jun-2022,"4,595.40","-3,55,616.53","6,12,836.49","64,99,862.59"
Mar-2022,"-16,023.61","-3,58,079.88","6,19,075.53","65,23,590.76"
Dec-2021,465.39,"-3,52,520.18","6,13,149.37","62,68,323.17"
Sep-2021,"31,188.78","-3,34,578.38","6,02,900.39","56,27,314.53"
Jun-2021,"31,870.19","-3,30,354.30","5,75,261.36","51,78,170.07"
Mar-2021,"3,389.08","-3,54,941.36","5,73,663.12","57,57,700.77"
Dec-2020,"32,482.71","-3,45,222.59",-,"54,74,171.37"
Sep-2020,"31,568.45","-3,37,783.71",-,"47,28,281.28"
Jun-2020,"19,846.21","-3,47,044.97",-,"38,93,942.58"
Mar-2020,"18,794.36","-3,75,407.96",-,"51,48,732.82"
Dec-2019,"21,601.23","-4,25,168.99",-,"51,35,344.64"
Sep-2019,"5,118.49","-4,36,979.28",-,"48,68,137.04"
Jun-2019,"13,983.99","-4,51,808.04",-,"49,51,378.35"
Mar-2019,"14,162.49","-4,37,021.29",-,"48,01,283.99"
Dec-2018,"-4,295.64","-4,26,900.30",-,"48,72,998.34"
Sep-2018,"-1,867.78","-3,87,338.91",-,"46,56,017.01"
Jun-2018,"-11,338.43","-4,07,554.06",-,"45,69,369.11"
Mar-2018,"13,236.75",-,-,"45,84,686.00"
Dec-2017,"9,434.48",-,-,"43,39,193.52"
