 Reporting Date,M1,M2,M3,CREDIT TO THE COMMERCIAL SECTOR BY THE BANKING SYSTEM,SUM OF CREDIT TO THE GOVERNMENT & CREDIT TO THE COMMERCIAL SECTOR BY THE BANKING SYSTEM,FISCAL DEFICIT,GROSS PRIMARY DEFICIT,ON REVENUE ACCOUNT OF WHICH INTEREST PAYMENTS,TOTAL REVENUE,TOTAL EXPENDITURE,FOREIGN TRADE EXPORTS,FOREIGN TRADE IMPORTS,Personal Loans - DEPLOYMENT OF BANK CREDIT BY MAJOR SECTORS,Housing (Including Priority Sector Housing) - DEPLOYMENT OF BANK CREDIT BY MAJOR SECTORS,All India Consumer price index for Industrial Worker (Base 2016=100),"All India New Consumer  Price Index - Rural,Urban,Combined (Base 2012 = 100)",WPI-Monthly-ALL COMMODITY,WPI-Monthly-MANUFACTURED PRODUCTS,MARKET CAPITALISATION - BSE,RBI BALANCE SHEET-LIABILITIES,RBI BALANCE SHEET-CURRENCY,RBI BALANCE SHEET-ASSETS,RBI BALANCE SHEET-LOANS-TOTAL,RBI BALANCE SHEET-LOANS-BANKS,RBI BALANCE SHEET-LOANS-GOVERNMENTS,RBI BALANCE SHEET-LOANS-OTHERS,RBI BALANCE SHEET-DOMESTIC-SECURITIES,CURRENCY WITH THE PUBLIC,DEMAND DEPOSITS WITH THE BANKS,OTHER DEPOSITS WITH RESERVE BANK
,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,Index,Index,Index,Index,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore
Jan-2026,,,29502905.14,20941856.06,20941856.06,,,,,,,,,,,,,,,,,,,,,,2007684.14,3889772.333,3137964.73,116578.8024
Dec-2025,,,29798543.95,21124467.74,21124467.74,,,,,,,,,,,197.93,157,145.6,,8283534.26,3888774.97,8283534.26,345862.11,197894,23359.15,124608.96,1831927.25,3828360.533,3422657.556,114998.5832
Nov-2025,7048159.486,7272244.486,29136713.2,20326717.47,20326717.47,976671,230906,745765,1949239,2925910,338568.9035,556600.1526,6486418.179,3195340.96,148.2,197.8,155.9,145,47435859.94,7914722.06,3827332.78,7914722.06,200538,2144,18966,179428,1732147,3772033.157,3158232.507,117893.8227
Oct-2025,7081529.349,7305614.349,28997506.24,40380291.74,40380291.74,825144,151429,673715,1800475,2625619,302028.5548,672929.1123,6455945.941,3187474.722,147.7,197.23,155.1,145.3,47026401.4,7897555.66,3781006.26,7897555.66,199568.86,5489,20016.32,174063.54,1730287.9,3720545.298,3245814.628,115169.4227
Sep-2025,6828091.596,7040422.596,28350280.9,19693905.82,19693905.82,573123,-5059,578182,1730216,2303339,319292.6985,610285.1901,6273708.261,3132868.069,147.3,197,155,145.2,45144414.11,8092953.77,3759652,8092953.77,298337.18,84836,32621.55,180879.63,1731582,3706688.089,3004900.773,116502.7336
Aug-2025,6857897.415,7070228.415,28308501.71,19436439.3,19436439.3,598153,69485,528668,1282709,1880862,304390.9854,542400.8659,6232565.884,3108790.468,147.1,196.9,155.2,145,44365504.09,7901534,3763891.8,7901534,165350,1950,19623,143777,1765179.26,3715736.729,3032515.622,109645.0636
Jul-2025,6833765.806,7046096.806,28139873.48,19288597.45,19288597.45,468416,21726,446690,1095209,1563625,318775.3459,558752.8352,6180071.766,3081152.043,146.5,195.97,154.4,144.6,44972018.75,7825297.42,3763757.13,7825297.42,148374.42,1906,24025.86,122442.56,1785639.24,3707457.896,3018665.596,107642.3136
Jun-2025,14093449.89,7259056,28230455.67,19274341.98,26234427.61,280732,-105305,386037,941395,1222127,300402.2106,464624.7838,6145222.393,3067119.907,145,194.1,153.7,144.7,46116672.35,7770573,3783593.79,7770573,121798,1065,20066,100667,1785715.21,3722652.401,6430750.788,108696.9994
May-2025,6978558.772,7190889.772,27989937.22,19074625.63,26041873.51,13163,-134625,147788,732963,746126,326304.4585,518431.9652,6080166.112,3037367.44,144,192.92,153.7,145,44419342.02,7735855,3798519.79,7735855,149409,6516,27482,115411,1811676.89,3736895.993,3131529.986,110132.7923
Apr-2025,13160226.34,6792309.17,55261369.48,18976717.47,25926309.98,186332,92872,93460,279288,465620,327555.5904,559416.0528,5999591.977,3008940.901,143.5,192.5,154.2,144.9,42324763.25,7575118.52,3760632.64,7575118.52,164685.89,23088,22324.16,119273.73,1680428.01,7387502.354,2782612.492,103749.5
Mar-2025,6584080.7,6798061.7,54573178.12,19029883.04,25984842.35,1577270,460927,1116343,3078247,4655517,364290.7256,550211.2568,5971696.13,3010476.605,143,191.93,154.8,144.6,41287646.5,7543640,3683847.55,7543640,426462,251984,26284,148194,1558565.94,3630751.472,2840022.669,113306.56
Feb-2025,12672239.98,6548315.991,53826682.22,18772993.15,32585549.42,1346852,394008,952844,2546317,3893169,321327.2894,443663.2168,5898807.503,2978758.788,142.8,192.37,154.9,144,38401411.86,7233813,3615588.27,7233813,376091,229480,22937,123674,1399551.68,7115665.204,2664975.273,113312.1165
Jan-2025,12519216.62,6465123.308,53385997.44,18649245.99,25538879.2,1169542,294081,875461,2400412,3569954,313476.6799,512679.9525,5849356.319,2950973.723,143.2,193.33,155,143.4,42402091.54,7046144,3564976.67,7046144,398362,256989,19332,122041,1317910.47,7007204.168,2651711.905,104294.318
Dec-2024,12544636.85,6477019.425,53158927.93,18518836.9,25368196.83,914089,105776,808313,2318005,3232094,321282.2312,496989.1697,5812623.515,2931738.852,143.7,195.27,155.7,143,44195106.44,6962758.27,3525532.16,6962758.27,362186.65,244697,21840.81,95648.84,1253915.54,6919953.344,2710712.82,101628.9322
Nov-2024,12531692.21,6467845.105,53034781.16,18280818.31,25073891.3,846594,188100,658494,1894408,2741002,269481.1815,539329.0582,5752280.618,2908672.237,144.5,196.35,156.4,143.1,44668650.36,6867445,3511564.38,6867445,166677,21293,16465,128919,1270656.44,6888434.857,2718636.059,102992.6179
Oct-2024,12403020.93,6402419.464,52578563.94,17996093.64,24727553.36,750824,154477,596347,1723074,2473898,327572.8491,546775.8853,5664805.752,2871841.068,144.5,196.67,156.7,142.9,44471429.92,7152556,3499615.35,7152556,216732,30948,24079,161705,1310982.2,6830465.166,2687986.303,98291.57787
Sep-2024,12254706.81,6328242.404,51908647.58,17878775.04,24520276.29,474520,-40490,515010,1636974,2111494,285611.4461,492118.6161,5613590.766,2845502.359,143.3,194.1,154.7,141.9,47435137.15,7308270,3447402.95,7308270,234178,33302,24412,176464,1314644.52,6784568.782,2640984.043,94084.96934
Aug-2024,12170091.44,6284872.718,51566095.1,17699484.67,24303806.25,435176,35016,400160,1217178,1652354,275935.7038,574771.8953,5572191.191,2833162.726,142.6,192.9,154.4,141.3,46439993.77,7078634,3458507.41,7078634,170298,6968,13381,149949,1315215.99,6809482.228,2588482.333,91822.27088
Jul-2024,6104726.487,6303743.487,25673512.63,17566882.68,24118833.51,276945,-50942,327887,1023406,1300351,273183.5883,497167.2803,5524310.111,2810105.058,142.7,192.83,155.3,141.7,46238008.35,6928559.74,3502884.5,6928559.74,161654.69,7161,21239.47,133254.22,1320372.9,3426088.84,2587413.066,91224.58088
Jun-2024,6288057.404,6487280.404,25791104.4,17638071.25,24036070.56,135712,-128340,264052,834197,969909,295869.519,467412.5924,5501898.998,2798565.201,141.4,190.07,154,142,43924743.63,6893990,3528947.72,6893990,248346,102741,7286,138319,1347914.12,3446054.522,2746236.761,95766.12088
May-2024,6211436.108,6408214.108,25610093.35,17535947.55,30346726.43,50615,-73195,123810,572845,623460,323404.3169,514327.3174,5472084.54,2786546.695,139.9,187.55,153.5,142,41212881.14,6884009.33,3537527.65,6884009.33,220903.19,71305,10723.2,138874.99,1363468.68,3468799.123,2651468.253,91168.73221
Apr-2024,6147335.959,6342780.959,25259957.58,17239404.59,23606818.36,210136,81873,128263,213334,423470,331976.4874,454462.9927,5361906.989,2741452.307,139.4,186.63,152.9,141.2,40655851.94,6897379.84,3532901.05,6897379.84,365761.98,209301,13284.29,143176.69,1356199.85,3454254.536,2606729.472,86351.95055
Mar-2024,6091700.227,6287477.227,24939860.45,17188425.51,23507228.33,1653670,589799,1063871,2788872,4442542,346039.7657,470087.2615,5346691.221,2718712.395,138.9,185.72,151.4,140.1,38697099.77,7069423.78,3482344.28,7069423.78,443369,266021,2300,175048,1363361,3410275.867,2586888.119,94536.24055
Feb-2024,5955970.236,6147662.236,24606900.45,16959856.19,23218654.2,1501365,620577,880788,2245922,3747287,343515.9631,496321.9423,5279167.357,2680408.561,139.2,185.73,151.2,139.8,38795690.23,6792166.32,3423278.38,6792166.32,422924.34,256409,14809,151706.34,1362249,3361633.285,2510518.443,83818.50744
Jan-2024,11803291.28,6120143.763,24417811.18,16787986.4,22970327.43,1102602,280871,821731,2252128,3354730,310239.168,446416.8116,5229492.695,2658081.562,138.9,185.43,151.2,139.7,37978375.88,6853453.64,3386333.03,6853453.64,498740.9,337637,12810,148293.9,1358899,3323406.062,2497828.743,80410.95744
Dec-2023,11835310.44,6134633.222,24377277.38,16704608.05,22896756.62,982278,234071,748207,2071939,3054217,319715.5008,473977.5224,5187944.704,2637783.831,138.8,185.63,151.8,140,36428846.25,6793559.18,3330410.42,6793559.18,382454.75,271352,2579.04,108523.71,1357627,3256114.696,2580489.518,81051.00744
Nov-2023,11556494.07,5992211.035,23934978.33,16356803.75,22623351.87,906584,298621,607963,1745583,2652167,281096.4467,456104.2585,5074665.024,2591486.485,139.1,186.23,153.1,140.2,33560155.58,6575122,3323226,6575122,350907,207355,16275,127277,1371072,3254799.039,2449083.732,74364.26405
Oct-2023,11330072,5876721.002,23739933.21,16187959.35,22433509.29,803700,258614,545086,1590712,2394412,278285.0366,524699.6003,5017400.576,2562002.09,138.4,185.23,152.5,140.4,31145025.49,6446791,3271894.24,6446791,327408,160738,21871,144799,1369466.14,3201682.401,2390413.661,72939.94007
Sep-2023,11225696.39,11637089.39,23504297.57,15877349.75,22046477.96,701861,217532,484329,1417278,2119139,285749.6754,450326.6365,4934424.427,2527200.965,137.5,184.03,151.8,140.4,31906871.94,6433915.2,3257525.86,6433915.2,312159.28,170292,11606.24,130261.04,1386229,3195975.837,2344131.451,72740.90487
Aug-2023,5628544.629,5839840.629,23472704.7,15649467.6,21738731.88,642826,275287,367539,1028931,1671757,316942.0563,513565.9112,4876136.326,2505633.628,139.2,186.1,152.5,139.9,30959138.7,6406864.54,3278676.39,6406864.54,244471.53,93310,16470,134691.53,1398848,3205302.396,2351355.108,71887.12487
Jul-2023,5685104.182,11778882.36,23409954.65,15520741.59,21548534.67,605593,305704,299889,775107,1380700,283341.029,436603.9453,4833558.267,2491006.188,139.7,186.2,152.1,139.5,30666348.99,6397015.44,3293426.66,6397015.44,185626.24,45027.68,13908.94,126689.62,1400820.39,3215902.609,2398078.284,71123.28959
Jun-2023,5903534.691,6103791.691,23424748.01,15118020.5,21088110.18,451370,207665,243705,599291,1050661,282266.2512,437508.4798,4368024.677,2052838.833,136.4,180.9,148.9,139.9,29648153.59,6282294.02,3329505,6282294.02,150430.011,50867,9835.001,89728,1404284,3234608.299,2590246.193,78680.19959
May-2023,5700286.964,5900543.964,22766809.97,14627209.27,20479079.43,210287,99624,110663,415691,625978,287818.0845,473086.2673,4238928.04,2009749.77,134.7,178.98,149.4,140.6,28376277.78,6267329.47,3411518,6267329.47,215680.7986,67278.41096,13741.95763,134660.42,1411362.43,3371391.007,2260901.997,67993.9608
Apr-2023,5696559.974,5896816.974,22683199.37,14589789.05,20335236.3,133595,85666,47929,170501,304096,283943.2934,402320.3155,4219767.953,2004953.395,134.2,178.1,151.1,141.4,27182858.92,6244033.6,3424815.65,6244033.6,169502.1465,73004.34247,9204.172998,87293.63,1416048.68,3346486.175,2281765.218,68308.5808
Mar-2023,5674794.614,5875051.614,22343760.32,14403087.11,20117494.2,1733131,804707,928424,2455706,4188837,345265.0362,501308.7047,4182767.412,1991163.513,133.3,177.17,151,141.3,25819896,6344756.238,3348228.277,6344756.238,288813.5323,112731.3425,49468.71855,126613.4713,279011.8742,3276435.898,2320597.545,77761.1708
