 Reporting Date,ALL INDIA HOUSE PRICE INDEX (Base-Year : Q1:2010-11),BoP - CURRENT ACCOUNT BALANCE INR,BoP - CURRENT ACCOUNT CREDIT INR,BoP - CURRENT ACCOUNT CREDIT USD,BoP - CURRENT ACCOUNT DEBIT INR,BoP - CURRENT ACCOUNT DEBIT USD,BoP - DIRECT FOREIGN INVESTMENT ABROAD NET INR,BoP - DIRECT FOREIGN INVESTMENT ABROAD NET USD,BoP - DIRECT FOREIGN INVESTMENT - INDIA NET INR,BoP - DIRECT FOREIGN INVESTMENT - INDIA NET USD,BoP - ERRORS AND OMMISSIONS - NET INR,BoP - ERRORS AND OMMISSIONS - NET USD,BoP - FOREIGN DIRECT INVESTMENT (INDIA+ABROAD) - NET INR,BoP - FOREIGN DIRECT INVESTMENT (INDIA+ABROAD) - NET USD,BoP - INCOME - NET INR,BoP - MERCHANDISE - CREDIT INR,BoP - MERCHANDISE - DEBIT INR,BoP - MERCHANDISE - NET INR,BoP - MONETARY MOVEMENTS - NET INR,BoP - MONETARY MOVEMENTS - NET USD,BoP - OTHER INVESTMENT (LOANS+BANKING CAPITAL+RUPEE DEBT SERVICE+OTHER CAPITAL) - NET INR,BoP - OTHER INVESTMENT (LOANS+BANKING CAPITAL+RUPEE DEBT SERVICE+OTHER CAPITAL) - NET USD,BoP - PORTFOLIO FOREIGN INVESTMENT ABROAD NET INR,BoP - PORTFOLIO FOREIGN INVESTMENT ABROAD NET USD,BoP - PORTFOLIO INVESTMENT IN INDIA - NET INR,BoP - PORTFOLIO INVESTMENT IN INDIA - NET USD,BoP - PORTFOLIO INVESTMENT - NET INR,BoP - PORTFOLIO INVESTMENT - NET USD,"BoP - SERVICES, GOVERNMENT SERVICES NOT INCLUDED ELSEWHERE , NET INR","BoP - SERVICES, GOVERNMENT SERVICES NOT INCLUDED ELSEWHERE , NET USD","BoP - SERVICES INSURANCE, NET INR","BoP - SERVICES INSURANCE, NET USD",BoP - SERVICES - NET INR,"BoP - SERVICES TRAVEL, NET INR","BoP - SERVICES TRAVEL,NET USD",BoP - TOTAL CAPITAL ACCOUNT NET INR,BoP - TOTAL CAPITAL ACCOUNT NET USD,"BoP - TRANSFER OFFICIAL,CREDIT INR","BoP - TRANSFER OFFICIAL,CREDIT USD","BoP - TRANSFER OFFICIAL,DEBIT INR","BoP - TRANSFER OFFICIAL,DEBIT USD","BoP - TRANSFER PRIVATE,CREDIT INR","BoP - TRANSFER PRIVATE,CREDIT USD","BoP - TRANSFER PRIVATE,DEBIT INR","BoP - TRANSFER PRIVATE,DEBIT USD",BoP - TRANSFERS - NET INR,CHANGE IN STOCKS CONSTANT,CHANGE IN STOCKS CURRENT,EXPORTS CONSTANT,EXPORTS CURRENT,GDP AT MARKET PRICES CONSTANT,GDP AT MARKET PRICES CURRENT,GOVERNMENT FINAL CONSUMPTION EXPENDITURE CONSTANT,GOVERNMENT FINAL CONSUMPTION EXPENDITURE CURRENT,GROSS FIXED CAPITAL FORMATION CONSTANT,GROSS FIXED CAPITAL FORMATION CURRENT,LESS IMPORTS CONSTANT,LESS IMPORTS CURRENT,PRIVATE FINAL CONSUMPTION EXPENDITURE CONSTANT,PRIVATE FINAL CONSUMPTION EXPENDITURE CURRENT
,Units,? Crore,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,? Crore,? Crore,? Crore,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,$ Millions,$ Millions,? Crore,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,$ Millions,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore,? Crore
2025-Q3,,"-1,07,491.42","23,29,098.08","2,66,735.82","24,36,589.49","2,79,046.08","-73,704.82","-8,440.91","98,816.36","11,316.77","7,141.64",817.88,"25,111.54","2,875.85","-1,06,465.91","9,55,234.57","17,18,776.22","-7,63,541.65","95,325.81","10,917.02","30,093.78","3,446.44","-2,432.26",-278.55,"-47,749.09","-5,468.38","-50,181.35","-5,746.93","-1,326.19",-151.88,"2,092.81",239.68,"4,44,345.16","-23,093.29","-2,644.72","5,023.97",575.36,304.32,34.85,"1,964.13",224.94,"3,40,593.13","39,005.82","20,762.34","2,377.77","3,18,170.98","83,646.22","1,28,548.37","10,46,884.15","18,37,597.28","48,63,340.17","85,25,069.52","3,92,730.49","7,72,710.96","16,71,729.14","26,00,965.63","13,15,253.22","21,38,230.44","27,18,452.89","53,29,149.86"
2025-Q2,,"-23,447.44","21,92,957.01","2,56,331.97","22,16,404.45","2,59,072.71","-1,48,564.72","-8,939.76","2,39,012.40","13,806.97","-13,365.50",-739.33,"41,639.65","4,867.21","-2,19,193.94","9,64,002.06","15,53,340.96","-11,75,061.58","-77,125.42","-4,507.55","12,936.79","1,512.17","-14,927.94",-872.45,"42,445.51","2,480.70","27,517.57","1,608.25","-1,612.47",-188.48,"5,341.79",311.21,"8,19,781.96","-55,266.38","-3,230.01","1,34,213.55","7,987.62",172.38,20.15,"1,857.93",217.17,"2,91,114.48","34,028.00","24,053.47","2,811.58","5,30,750.93","80,896.58","1,24,662.64","9,74,178.53","17,95,658.84","47,88,623.36","86,05,364.53","4,49,511.12","8,69,747.78","16,55,345.61","26,19,478.97","12,16,001.55","19,57,809.41","27,16,722.63","51,86,656.67"
2025-Q1,326.23,"1,18,068.95","22,97,101.20","2,65,092.80","21,79,032.25","2,51,467.26","-1,67,865.76","-9,686.12","1,74,215.30","10,052.50","14,664.52",780.05,"3,174.77",366.38,"-2,05,892.08","10,09,070.92","15,23,044.04","-10,29,367.91","-1,52,310.91","-8,788.58","-1,080.95",-124.74,"2,356.94",136.00,"-1,03,890.22","-5,994.63","-1,01,533.27","-5,858.63","-1,428.82",-164.89,"2,149.30",124.42,"9,23,909.15","20,144.35","1,162.36","-96,976.00","-5,617.00",272.96,31.50,"3,259.37",376.14,"3,00,561.17","34,685.72","24,588.14","2,837.55","5,45,973.24","89,700.79","1,40,985.26","11,14,167.20","18,85,715.54","51,35,163.11","88,17,534.15","5,08,418.53","9,83,119.32","17,41,150.12","27,29,725.34","9,22,787.57","19,26,170.15","27,20,039.37","51,38,860.41"
2024-Q4,323.26,"-95,764.09","22,10,540.73","2,61,726.24","23,06,304.83","2,73,064.63","-1,07,635.06","-6,314.72","60,450.87","3,504.52","7,337.49",298.08,"-23,734.94","-2,810.20","-2,79,918.89","9,27,514.29","15,97,355.33","-13,38,367.73","6,36,161.33","37,660.49","-1,05,050.92","-12,437.94","1,057.61",62.61,"-1,93,154.13","-11,434.65","-1,92,096.52","-11,372.04","-1,176.53",-139.30,-412.40,-24.41,"8,65,041.46","28,676.04","1,697.61","-4,50,771.89","-26,620.18",752.99,89.15,"2,816.98",333.53,"3,03,985.33","35,991.62","21,662.22","2,564.79","5,60,518.24","75,228.31","1,17,472.21","10,46,234.32","17,96,473.84","47,26,541.83","85,02,371.93","3,77,374.24","7,43,435.59","14,99,134.33","23,33,282.34","10,43,395.03","20,18,480.79","28,43,368.36","55,34,614.16"
2024-Q3,322.00,"-1,74,756.46","20,58,961.63","2,45,798.07","22,33,718.09","2,66,660.43","-1,27,717.47","-7,787.59","84,702.08","4,966.64","-9,962.50",-448.43,"-23,630.06","-2,820.95","-1,56,176.58","8,43,069.24","15,84,657.24","-14,47,570.32","-3,11,837.24","-18,613.51","1,91,784.72","22,895.19",586.20,34.99,"3,31,967.38","19,815.07","3,32,553.58","19,850.06","-1,414.98",-168.92,"1,833.05",99.85,"7,46,257.98","-29,011.54","-1,731.69","6,36,477.37","39,924.30",232.41,27.74,"2,601.32",310.54,"2,95,252.43","35,247.12","21,477.87","2,564.02","5,42,811.29","77,908.35","1,20,494.34","9,91,507.52","16,55,030.18","44,93,586.56","78,40,345.08","4,03,592.46","7,83,876.37","15,57,503.23","24,03,611.55","11,66,500.49","19,73,218.95","25,18,253.58","48,73,650.54"
2024-Q2,322.18,"-37,410.91","20,52,315.47","2,46,012.29","20,89,726.38","2,50,496.76","-69,877.21","-4,382.21","1,77,742.14","10,605.88","13,116.88",772.79,"51,919.85","6,223.66","-1,83,870.55","9,60,780.91","14,59,598.04","-10,44,378.18","-87,372.97","-5,225.98","14,759.69","1,769.25",794.32,47.51,"15,000.76",897.23,"15,795.08",944.74,"-1,228.74",-147.29,"5,342.03",329.31,"6,64,844.66","-30,416.32","-1,819.27","1,97,491.75","8,937.66",152.55,18.29,"2,598.98",311.54,"2,46,111.82","29,501.57","24,224.95","2,903.86","4,40,168.41","76,390.05","1,18,229.30","9,16,189.14","16,60,610.45","44,41,663.95","79,07,894.21","4,18,344.47","7,92,687.62","15,35,296.55","24,19,509.88","10,96,706.41","18,48,993.38","25,37,917.26","47,51,287.97"
2024-Q1,316.33,"37,920.59","21,05,026.86","2,53,533.95","20,67,106.27","2,48,966.71","-95,715.35","-5,764.08","1,31,021.33","8,062.81","9,805.71",643.50,"19,085.76","2,298.73","-2,46,135.52","10,09,832.50","14,41,729.13","-8,54,453.02","-5,10,678.47","-30,753.60","98,406.88","11,852.34","-3,110.87",-187.34,"1,92,277.32","11,579.15","1,89,166.45","11,391.81","-1,542.98",-185.84,"4,606.74",277.36,"7,08,802.87","31,515.01","1,897.87","4,15,773.50","25,542.87",423.37,50.99,"2,344.06",282.32,"2,66,068.12","32,045.82","25,704.97","3,095.96","4,76,884.92","85,606.81","1,28,482.58","10,72,843.77","17,46,780.32","47,82,032.47","79,60,965.70","5,17,771.67","9,68,298.45","15,91,438.93","24,79,723.90","10,56,689.21","18,12,018.01","25,67,197.99","46,30,476.33"
2023-Q4,313.55,"-86,855.17","19,65,353.48","2,36,019.85","20,52,208.65","2,46,450.31","-55,389.70","-4,409.52","1,30,099.01","8,365.99","-12,319.65",-760.53,"32,945.78","3,956.47","-1,96,236.01","8,87,883.28","14,84,480.97","-10,61,816.47","-2,50,773.00","-5,998.17","10,163.43","1,220.53",-107.87,340.84,"2,29,440.17","11,671.32","2,29,332.30","12,012.16",-816.31,-98.03,"1,020.02",-45.79,"6,63,498.58","-5,613.82","2,363.47","4,25,689.96","17,189.16",785.43,94.32,"1,912.60",229.68,"2,61,845.32","31,445.08","16,715.67","2,007.39","4,31,956.58","72,654.47","1,09,303.01","9,44,237.86","16,14,302.92","44,43,638.24","77,09,665.37","3,45,292.45","6,48,579.26","14,24,622.11","22,11,333.90","10,65,420.36","18,23,417.40","26,29,134.97","48,73,005.90"
2023-Q3,308.60,"-93,276.11","19,15,021.18","2,31,670.00","20,08,297.29","2,42,954.09","-59,791.90","-3,870.26","50,531.79","3,036.77","14,796.64",946.18,"-6,889.73",-833.49,"-1,96,666.23","8,94,848.79","14,28,394.02","-10,38,062.47","-41,638.00","-2,518.58","72,274.81","8,743.46","-5,611.73",-339.44,"87,389.30","5,285.97","81,777.57","4,946.53",-863.24,-104.43,122.42,6.88,"6,60,388.31","-19,511.77","-1,180.22","1,88,882.86","12,856.50",188.52,22.81,"2,206.49",266.93,"2,32,476.24","28,123.85","24,416.34","2,953.77","4,12,298.89","76,306.09","1,14,577.91","9,62,377.55","15,79,369.37","42,54,805.79","72,40,697.12","3,87,039.72","7,25,301.47","14,59,663.42","22,39,910.42","11,54,462.81","17,70,480.86","23,66,538.74","44,27,733.31"
