 Reporting Date,CALL MONEY RATE (BORROWINGS) - HIGH,CALL MONEY RATE (BORROWINGS) - LOW,FOREIGN CURRENCY ASSETS,FOREIGN EXCHANGE RESERVES
,Per cent,Per cent,? Crore,? Crore
23-Jan-2026,,,5176327.43,6523644.584
16-Jan-2026,,,5093543.8,6373301.584
09-Jan-2026,5.8,4.5,4966747.04,6195895.769
02-Jan-2026,6,4.5,4978585.29,6194458.394
26-Dec-2025,5.65,4.5,5027960.78,6258847.772
19-Dec-2025,5.7,4.5,4999428.38,6196355.51
12-Dec-2025,5.3,4.5,5043439.34,6229383.286
05-Dec-2025,5.6,4.6,5012068.63,6185485.094
28-Nov-2025,5.75,4.75,4982045.8,6137574.93
21-Nov-2025,5.65,4.75,5015104.96,6155363.28
14-Nov-2025,5.6,4.5,4989888.77,6146082.46
07-Nov-2025,5.6,4.7,4984258.04,6091683.36
31-Oct-2025,5.8,4.75,5012117.25,6123030.74
24-Oct-2025,6,4.4,4976853.05,6108298.747
17-Oct-2025,6.1,4.75,5017935.43,6177971.421
10-Oct-2025,6,4.75,5074093.68,6188784.04
03-Oct-2025,5.95,4.75,5128989.62,6214364.358
26-Sep-2025,5.8,4.75,5160999.39,6211881.403
19-Sep-2025,5.65,4.75,5163936.69,6189682.93
12-Sep-2025,5.6,4.75,5182347.23,6206009.287
05-Sep-2025,5.6,4.75,5158374.69,6162688.933
29-Aug-2025,5.6,4,5152366.92,6125355.62
22-Aug-2025,5.75,4,5096747.52,6046194.964
15-Aug-2025,5.68,4.75,5130563.95,6086782.399
08-Aug-2025,6,4.75,5119914.67,6081130.764
01-Aug-2025,5.55,4.75,5091494.21,6030417.126
25-Jul-2025,5.85,4.75,5095486.51,6040880.34
18-Jul-2025,5.5,4.75,5062859.91,5992372.782
11-Jul-2025,5.55,4.5,5052565.95,5978148.861
04-Jul-2025,5.7,4.7,5049185.07,5975265.876
27-Jun-2025,5.6,4.75,5084809.26,6007744.947
20-Jun-2025,5.35,4.5,5100971.13,6043696.62
13-Jun-2025,5.4,4.35,5074966.58,6017973.71
06-Jun-2025,6.65,4.85,5034542.59,5968103.239
30-May-2025,6,4.85,4998795.36,5916601.935
23-May-2025,5.9,4.85,4994766.69,5902926.095
16-May-2025,5.9,4.9,4975263.96,5865523.494
09-May-2025,6.16,4.9,4964244.79,5897173.166
02-May-2025,6.1,4.95,4911665.32,5797792.28
25-Apr-2025,6.15,4.95,4960995.66,5879208.23
18-Apr-2025,5.95,4.95,4938464.93,5857536.831
11-Apr-2025,6.35,5,4948552.73,5833811.01
04-Apr-2025,6.4,5,4893863.54,5764902.63
28-Mar-2025,7.5,5.15,4829094.53,5687095.17
21-Mar-2025,6.5,5.15,4803678.05,5662867.357
14-Mar-2025,6.45,5.15,4848035.11,5692790.56
07-Mar-2025,6.45,5.15,4841986.83,5682099.017
28-Feb-2025,6.65,5.15,4754944.49,5589313.01
21-Feb-2025,6.65,5.15,4715810.78,5553749.84
14-Feb-2025,6.5,5.15,4685134.51,5519832.145
07-Feb-2025,6.65,5.1,4757452.78,5580725.881
31-Jan-2025,6.7,5.1,4656917.48,5461741.1
24-Jan-2025,6.9,5.1,4636524.04,5426705.796
17-Jan-2025,7.1,5.1,4617657.95,5404531.864
10-Jan-2025,7.1,5.1,4607932.24,5380401.972
03-Jan-2025,7.25,5.1,4679273.26,5443632.914
27-Dec-2024,7,5.1,4721047.46,5476868.68
20-Dec-2024,7,5.1,4732162.96,5478951.146
13-Dec-2024,6.9,5.5,4770775.06,5536493.83
06-Dec-2024,6.75,5.1,4790434.18,5546163.13
29-Nov-2024,6.9,5.1,4806615.6,5560661.35
22-Nov-2024,6.9,5.1,4787281.63,5545695.03
15-Nov-2024,6.72,5.1,4809631.42,5552871.293
